parameter,value,seed,cost_usd,violation_rate,total_lateness_seconds,credit_exhaustions,throttled_vm_hours,robust_bound_evaluations,robust_bound_exceedances,bound_exceedance_rate,migrations,scheduler_runtime_seconds,maximum_vms,makespan_seconds
epsilon,0.01,20260703,152.018750,0.000000,0.000000,0,0.000000,24323,1330,0.054681,703,4.883416,146,1253509.770501
epsilon,0.01,20268622,153.137500,0.000000,0.000000,0,0.000000,24502,1345,0.054893,591,4.433189,138,1323085.382602
epsilon,0.01,20276541,157.618750,0.000000,0.000000,1,0.018712,25219,1299,0.051509,729,2.391325,146,1354488.901899
epsilon,0.01,20284460,151.900000,0.000000,0.000000,0,0.000000,24304,1334,0.054888,689,3.757120,135,1362972.916403
epsilon,0.01,20292379,149.493750,0.000000,0.000000,0,0.000000,23919,1385,0.057904,610,3.682290,121,1227041.175380
epsilon,0.01,20300298,149.981250,0.000000,0.000000,0,0.000000,23997,1285,0.053548,591,2.146977,138,1242334.069832
epsilon,0.01,20308217,153.443750,0.000000,0.000000,1,0.011311,24551,1364,0.055558,677,2.657593,142,1360328.349201
epsilon,0.01,20316136,150.375000,0.000000,0.000000,0,0.000000,24060,1267,0.052660,678,1.972098,141,1252670.112804
epsilon,0.01,20324055,154.056250,0.000000,0.000000,0,0.000000,24649,1320,0.053552,679,2.399527,149,1307038.385066
epsilon,0.01,20331974,149.950000,0.000000,0.000000,0,0.000000,23992,1272,0.053018,620,1.963824,136,1317094.870937
epsilon,0.01,20339893,152.293750,0.000000,0.000000,0,0.000000,24367,1344,0.055157,703,2.111775,147,1207364.114896
epsilon,0.01,20347812,149.856250,0.000000,0.000000,1,0.002404,23977,1240,0.051716,635,1.856427,145,1254201.513095
epsilon,0.01,20355731,154.231250,0.000000,0.000000,0,0.000000,24677,1321,0.053532,688,3.584456,138,1330558.119824
epsilon,0.01,20363650,150.268750,0.000000,0.000000,0,0.000000,24043,1396,0.058063,677,24.493676,144,1308109.623310
epsilon,0.01,20371569,153.087500,0.000000,0.000000,0,0.000000,24494,1337,0.054585,604,4.723708,141,1210346.476495
epsilon,0.01,20379488,153.743750,0.000000,0.000000,0,0.000000,24599,1393,0.056628,636,4.687278,145,1264682.043709
epsilon,0.01,20387407,151.331250,0.000000,0.000000,0,0.000000,24213,1258,0.051956,599,8.544927,141,1294464.204825
epsilon,0.01,20395326,154.331250,0.000000,0.000000,0,0.000000,24693,1322,0.053537,694,12.494014,151,1332171.253632
epsilon,0.01,20403245,149.262500,0.000000,0.000000,0,0.000000,23882,1305,0.054644,683,9.061577,134,1246513.517478
epsilon,0.01,20411164,153.456250,0.000000,0.000000,0,0.000000,24553,1343,0.054698,668,7.577552,147,1323601.036639
epsilon,0.05,20260703,151.956250,0.000000,0.000000,1,0.000745,24313,3983,0.163822,840,4.578710,147,1253809.770501
epsilon,0.05,20268622,152.375000,0.000000,0.000000,4,0.101473,24380,3979,0.163208,835,7.510044,137,1323085.382602
epsilon,0.05,20276541,155.912500,0.000000,0.000000,0,0.000000,24946,4098,0.164275,776,8.801157,146,1354788.901899
epsilon,0.05,20284460,152.268750,0.000000,0.000000,4,0.051130,24363,4057,0.166523,849,5.977053,135,1362972.916403
epsilon,0.05,20292379,147.537500,0.000000,0.000000,0,0.000000,23606,3865,0.163730,680,1.930809,124,1227041.175380
epsilon,0.05,20300298,151.481250,0.000000,0.000000,1,0.000221,24237,3946,0.162809,703,4.267792,137,1242634.069832
epsilon,0.05,20308217,151.775000,0.000000,0.000000,4,0.024900,24284,4000,0.164718,799,3.872286,142,1360328.349201
epsilon,0.05,20316136,146.931250,0.000000,0.000000,2,0.023717,23509,3942,0.167680,822,5.300752,141,1252970.112804
epsilon,0.05,20324055,152.068750,0.000000,0.000000,0,0.000000,24331,3961,0.162796,856,3.786447,147,1306738.385066
