stress,policy,seed,cost_usd,violation_rate,total_lateness_seconds,credit_exhaustions,throttled_vm_hours,robust_bound_evaluations,robust_bound_exceedances,bound_exceedance_rate,migrations,scheduler_runtime_seconds,maximum_vms,makespan_seconds
MODERATE,"HEFT",20339893,146.087500,1.000000,1580115.890473,341,1055.780522,23374,21305,0.911483,0,1.788134,55,1765064.114896
MODERATE,"KRP",20339893,160.906250,1.000000,32424406.595027,69,1710.238708,25745,24447,0.949582,0,3.191486,52,3886964.114896
MODERATE,"CCS",20339893,170.368750,1.000000,20105999.278521,94,1507.187932,27259,20069,0.736234,0,3.045183,60,3234164.114896
MODERATE,"CARS",20339893,149.293750,0.000000,0.000000,167,2.969039,23887,17907,0.749655,1818,1.487175,147,1209164.114896
MODERATE,"UBR-CA no migration",20339893,143.662500,0.000000,0.000000,239,87.973913,22986,4188,0.182198,0,1.492618,140,1207364.114896
MODERATE,"UBR-CA",20339893,149.912500,0.000000,0.000000,3,0.030440,23986,3980,0.165930,776,1.358840,149,1207364.114896
MODERATE,"HEFT",20347812,141.575000,0.500000,216969.278572,764,833.315195,22652,19971,0.881644,0,1.185480,52,1473501.513095
MODERATE,"KRP",20347812,158.400000,1.000000,30216641.509952,77,1642.428088,25344,23851,0.941091,0,3.351606,50,3741201.513095
MODERATE,"CCS",20347812,165.518750,1.000000,18669618.616260,99,1451.527247,26483,19446,0.734282,0,2.506399,57,3132501.513095
MODERATE,"CARS",20347812,146.993750,0.000000,0.000000,191,3.557656,23519,17570,0.747056,1876,1.560555,147,1254201.513095
MODERATE,"UBR-CA no migration",20347812,144.487500,0.000000,0.000000,251,89.910197,23118,4134,0.178822,0,1.303046,140,1253901.513095
MODERATE,"UBR-CA",20347812,149.631250,0.000000,0.000000,1,0.001507,23941,3909,0.163276,803,1.250533,148,1253901.513095
MODERATE,"HEFT",20355731,147.231250,0.500000,247336.758496,739,870.701393,23557,20599,0.874432,0,1.529729,52,1538458.119824
MODERATE,"KRP",20355731,166.043750,1.000000,33978321.273293,65,1711.214544,26567,24827,0.934505,0,3.242687,49,4095358.119824
MODERATE,"CCS",20355731,173.531250,1.000000,20687561.016272,78,1493.277684,27765,20023,0.721160,0,2.730094,58,3402958.119824
MODERATE,"CARS",20355731,151.700000,0.000000,0.000000,167,2.928608,24272,18030,0.742831,1682,1.309911,136,1330858.119824
MODERATE,"UBR-CA no migration",20355731,147.637500,0.000000,0.000000,217,85.760980,23622,4179,0.176911,0,1.579383,134,1330258.119824
MODERATE,"UBR-CA",20355731,152.662500,0.000000,0.000000,1,0.003435,24426,4026,0.164824,814,1.242412,139,1330258.119824
MODERATE,"HEFT",20363650,143.043750,0.500000,235502.066530,728,816.197252,22887,20098,0.878140,0,1.233760,51,1513009.623310
MODERATE,"KRP",20363650,158.400000,1.000000,30164748.995192,82,1663.684902,25344,24056,0.949179,0,3.495795,49,3848209.623310
MODERATE,"CCS",20363650,166.256250,1.000000,18987263.278046,95,1484.905893,26601,19622,0.737641,0,2.382598,56,3289309.623310
MODERATE,"CARS",20363650,148.750000,0.000000,0.000000,174,3.543034,23800,17844,0.749748,1836,1.579832,142,1307809.623310
